Protein,Protein ID,Control,Treatment,Difference
sp|Q92896-2|GSLG1_HUMAN,Q92896-2,0,22,22
sp|P15170-2|ERF3A_HUMAN,P15170-2,0,21,21
sp|P22307-7|NLTP_HUMAN,P22307-7,0,21,21
sp|P35241-5|RADI_HUMAN,P35241-5,0,21,21
sp|P47756-2|CAPZB_HUMAN,P47756-2,0,21,21
sp|P49419-2|AL7A1_HUMAN,P49419-2,0,21,21
sp|P84103-2|SRSF3_HUMAN,P84103-2,0,21,21
sp|Q14008-2|CKAP5_HUMAN,Q14008-2,0,21,21
sp|Q9HC38-2|GLOD4_HUMAN,Q9HC38-2,0,21,21
sp|P14618|KPYM_HUMAN,P14618,110,130,20
sp|P35579|MYH9_HUMAN,P35579,135,155,20
sp|P20073-2|ANXA7_HUMAN,P20073-2,0,20,20
sp|P28331-2|NDUS1_HUMAN,P28331-2,0,20,20
sp|P35232|PHB_HUMAN,P35232,0,20,20
sp|P51991-2|ROA3_HUMAN,P51991-2,0,20,20
sp|Q13085-4|ACACA_HUMAN,Q13085-4,0,20,20
sp|Q68CZ2-2|TENS3_HUMAN,Q68CZ2-2,0,20,20
sp|Q99729-3|ROAA_HUMAN,Q99729-3,0,20,20
sp|Q9BUJ2-2|HNRL1_HUMAN,Q9BUJ2-2,0,20,20
sp|Q9Y262-2|EIF3L_HUMAN,Q9Y262-2,0,20,20
sp|P11142|HSP7C_HUMAN,P11142,81,100,19
sp|P27708|PYR1_HUMAN,P27708,12,31,19
sp|O00231-2|PSD11_HUMAN,O00231-2,0,19,19
sp|P09496-2|CLCA_HUMAN,P09496-2,0,19,19
sp|P28838-2|AMPL_HUMAN,P28838-2,0,19,19
sp|P50570-2|DYN2_HUMAN,P50570-2,0,19,19
sp|P55209-2|NP1L1_HUMAN,P55209-2,0,19,19
sp|Q06210-2|GFPT1_HUMAN,Q06210-2,0,19,19
sp|Q7Z6Z7-2|HUWE1_HUMAN,Q7Z6Z7-2,0,19,19
sp|O60664-3|PLIN3_HUMAN,O60664-3,0,18,18
sp|P33527-3|MRP1_HUMAN,P33527-3,0,18,18
sp|P78344-2|IF4G2_HUMAN,P78344-2,0,18,18
sp|Q15084-2|PDIA6_HUMAN,Q15084-2,0,18,18
sp|Q7L1Q6-3|BZW1_HUMAN,Q7L1Q6-3,0,18,18
sp|Q8NC51-3|PAIRB_HUMAN,Q8NC51-3,0,18,18
sp|Q01813|PFKAP_HUMAN,Q01813,30,47,17
sp|Q08211|DHX9_HUMAN,Q08211,12,29,17
sp|O60763-2|USO1_HUMAN,O60763-2,0,17,17
sp|O95347-2|SMC2_HUMAN,O95347-2,0,17,17
sp|O95782-2|AP2A1_HUMAN,O95782-2,0,17,17
sp|P18621-3|RL17_HUMAN,P18621-3,0,17,17
sp|P60866-2|RS20_HUMAN,P60866-2,0,17,17
sp|P61289-2|PSME3_HUMAN,P61289-2,0,17,17
sp|Q12904-2|AIMP1_HUMAN,Q12904-2,0,17,17
sp|Q13838-2|DX39B_HUMAN,Q13838-2,0,17,17
sp|Q16401-2|PSMD5_HUMAN,Q16401-2,0,17,17
sp|Q16851-2|UGPA_HUMAN,Q16851-2,0,17,17
sp|Q9UKV3-5|ACINU_HUMAN,Q9UKV3-5,0,17,17
sp|Q9ULV4-2|COR1C_HUMAN,Q9ULV4-2,0,17,17
sp|O60218|AK1BA_HUMAN,O60218,126,142,16
sp|P62701|RS4X_HUMAN,P62701,18,34,16
sp|P10412|H14_HUMAN,P10412,4,20,16
sp|O60610-2|DIAP1_HUMAN,O60610-2,0,16,16
sp|P22570-3|ADRO_HUMAN,P22570-3,0,16,16
sp|P23381-2|SYWC_HUMAN,P23381-2,0,16,16
sp|P35580-2|MYH10_HUMAN,P35580-2,0,16,16
sp|P35637-2|FUS_HUMAN,P35637-2,0,16,16
sp|P43487-2|RANG_HUMAN,P43487-2,0,16,16
sp|P47897-2|SYQ_HUMAN,P47897-2,0,16,16
sp|P49748-2|ACADV_HUMAN,P49748-2,0,16,16
sp|P49915-2|GUAA_HUMAN,P49915-2,0,16,16
sp|P55084-2|ECHB_HUMAN,P55084-2,0,16,16
sp|P60660-2|MYL6_HUMAN,P60660-2,0,16,16
sp|P63000-2|RAC1_HUMAN,P63000-2,0,16,16
sp|Q92900-2|RENT1_HUMAN,Q92900-2,0,16,16
sp|Q9Y3F4-2|STRAP_HUMAN,Q9Y3F4-2,0,16,16
sp|P26639|SYTC_HUMAN,P26639,15,30,15
sp|P41252|SYIC_HUMAN,P41252,7,22,15
sp|P55786|PSA_HUMAN,P55786,15,30,15
sp|O00469-2|PLOD2_HUMAN,O00469-2,0,15,15
sp|O43390-2|HNRPR_HUMAN,O43390-2,0,15,15
sp|P21399|ACOC_HUMAN,P21399,0,15,15
sp|P22061-2|PIMT_HUMAN,P22061-2,0,15,15
sp|P25788-2|PSA3_HUMAN,P25788-2,0,15,15
sp|P51648-2|AL3A2_HUMAN,P51648-2,0,15,15
sp|P54578-2|UBP14_HUMAN,P54578-2,0,15,15
sp|P61201-2|CSN2_HUMAN,P61201-2,0,15,15
sp|P78347-2|GTF2I_HUMAN,P78347-2,0,15,15
sp|Q14789-2|GOGB1_HUMAN,Q14789-2,0,15,15
sp|Q15019-2|SEPT2_HUMAN,Q15019-2,0,15,15
sp|Q15717-2|ELAV1_HUMAN,Q15717-2,0,15,15
sp|Q9BXP5-2|SRRT_HUMAN,Q9BXP5-2,0,15,15
sp|P00352|AL1A1_HUMAN,P00352,207,221,14
sp|P60842|IF4A1_HUMAN,P60842,31,45,14
sp|P62424|RL7A_HUMAN,P62424,17,31,14
sp|A0MZ66-3|SHOT1_HUMAN,A0MZ66-3,0,14,14
sp|O14776-2|TCRG1_HUMAN,O14776-2,0,14,14
sp|O60271-4|JIP4_HUMAN,O60271-4,0,14,14
sp|P08243-2|ASNS_HUMAN,P08243-2,0,14,14
sp|P41227-2|NAA10_HUMAN,P41227-2,0,14,14
sp|P51572-2|BAP31_HUMAN,P51572-2,0,14,14
sp|P55265-4|DSRAD_HUMAN,P55265-4,0,14,14
sp|P55327-2|TPD52_HUMAN,P55327-2,0,14,14
sp|Q12931-2|TRAP1_HUMAN,Q12931-2,0,14,14
sp|Q13561-2|DCTN2_HUMAN,Q13561-2,0,14,14
sp|Q14444-2|CAPR1_HUMAN,Q14444-2,0,14,14
sp|Q15366-3|PCBP2_HUMAN,Q15366-3,0,14,14
sp|Q15907-2|RB11B_HUMAN,Q15907-2,0,14,14
sp|Q92614-4|MY18A_HUMAN,Q92614-4,0,14,14
sp|Q92973-2|TNPO1_HUMAN,Q92973-2,0,14,14
sp|Q9NZB2-4|F120A_HUMAN,Q9NZB2-4,0,14,14
sp|Q9UNF0-2|PACN2_HUMAN,Q9UNF0-2,0,14,14
sp|Q9Y5B9|SP16H_HUMAN,Q9Y5B9,0,14,14
sp|O00429-2|DNM1L_HUMAN,O00429-2,0,14,14
sp|P23526|SAHH_HUMAN,P23526,20,33,13
sp|P46821|MAP1B_HUMAN,P46821,34,47,13
sp|P52597|HNRPF_HUMAN,P52597,12,25,13
sp|P67809|YBOX1_HUMAN,P67809,10,23,13
sp|Q13509|TBB3_HUMAN,Q13509,5,18,13
sp|O75643|U520_HUMAN,O75643,0,13,13
sp|P07602-2|SAP_HUMAN,P07602-2,0,13,13
sp|P14678-2|RSMB_HUMAN,P14678-2,0,13,13
sp|P30622-1|CLIP1_HUMAN,P30622-1,0,13,13
sp|P54819-2|KAD2_HUMAN,P54819-2,0,13,13
sp|P55011-3|S12A2_HUMAN,P55011-3,0,13,13
sp|Q13098-5|CSN1_HUMAN,Q13098-5,0,13,13
sp|Q13439-3|GOGA4_HUMAN,Q13439-3,0,13,13
sp|Q15424-2|SAFB1_HUMAN,Q15424-2,0,13,13
sp|Q6P2Q9|PRP8_HUMAN,Q6P2Q9,0,13,13
sp|Q96TA1-2|NIBL1_HUMAN,Q96TA1-2,0,13,13
sp|Q9BZF9-2|UACA_HUMAN,Q9BZF9-2,0,13,13
sp|Q9NR30|DDX21_HUMAN,Q9NR30,0,13,13
sp|Q9NUQ9|FA49B_HUMAN,Q9NUQ9,0,13,13
sp|Q9NVI7-2|ATD3A_HUMAN,Q9NVI7-2,0,13,13
sp|Q9UJU6-2|DBNL_HUMAN,Q9UJU6-2,0,13,13
sp|O43707|ACTN4_HUMAN,O43707,128,140,12
sp|O60701|UGDH_HUMAN,O60701,43,55,12
sp|P05141|ADT2_HUMAN,P05141,23,35,12
sp|P06744|G6PI_HUMAN,P06744,60,72,12
sp|P18124|RL7_HUMAN,P18124,8,20,12
sp|P34932|HSP74_HUMAN,P34932,38,50,12
sp|P35606|COPB2_HUMAN,P35606,5,17,12
sp|P40429|RL13A_HUMAN,P40429,8,20,12
sp|P48506|GSH1_HUMAN,P48506,7,19,12
sp|Q01581|HMCS1_HUMAN,Q01581,3,15,12
sp|Q7KZF4|SND1_HUMAN,Q7KZF4,20,32,12
sp|Q9UNX3|RL26L_HUMAN,Q9UNX3,1,13,12
sp|O15371-2|EIF3D_HUMAN,O15371-2,0,12,12
sp|O43852-3|CALU_HUMAN,O43852-3,0,12,12
sp|P09104-2|ENOG_HUMAN,P09104-2,0,12,12
sp|P25205-2|MCM3_HUMAN,P25205-2,0,12,12
sp|P25325-2|THTM_HUMAN,P25325-2,0,12,12
sp|P30044-2|PRDX5_HUMAN,P30044-2,0,12,12
sp|P48739-3|PIPNB_HUMAN,P48739-3,0,12,12
sp|P51570-2|GALK1_HUMAN,P51570-2,0,12,12
sp|Q00325-2|MPCP_HUMAN,Q00325-2,0,12,12
sp|Q05682-3|CALD1_HUMAN,Q05682-3,0,12,12
sp|Q08J23-2|NSUN2_HUMAN,Q08J23-2,0,12,12
sp|Q13310-2|PABP4_HUMAN,Q13310-2,0,12,12
sp|Q14203-2|DCTN1_HUMAN,Q14203-2,0,12,12
sp|Q15029-2|U5S1_HUMAN,Q15029-2,0,12,12
sp|Q16181-2|SEPT7_HUMAN,Q16181-2,0,12,12
sp|Q16698-2|DECR_HUMAN,Q16698-2,0,12,12
sp|Q4V328-4|GRAP1_HUMAN,Q4V328-4,0,12,12
sp|Q63HN8-4|RN213_HUMAN,Q63HN8-4,0,12,12
sp|Q70UQ0-4|IKIP_HUMAN,Q70UQ0-4,0,12,12
sp|Q8TEX9-2|IPO4_HUMAN,Q8TEX9-2,0,12,12
sp|Q92823-3|NRCAM_HUMAN,Q92823-3,0,12,12
sp|Q92888-2|ARHG1_HUMAN,Q92888-2,0,12,12
sp|Q9H910-3|JUPI2_HUMAN,Q9H910-3,0,12,12
sp|Q9UPT5-1|EXOC7_HUMAN,Q9UPT5-1,0,12,12
sp|Q9Y520-4|PRC2C_HUMAN,Q9Y520-4,0,12,12
sp|Q9Y6E2|BZW2_HUMAN,Q9Y6E2,0,12,12
tr|A0A024R4E5|A0A024R4E5_HUMAN,A0A024R4E5,0,12,12
sp|P09493-10|TPM1_HUMAN,P09493-10,0,12,12
sp|P12268|IMDH2_HUMAN,P12268,15,26,11
sp|P13010|XRCC5_HUMAN,P13010,11,22,11
sp|P26640|SYVC_HUMAN,P26640,10,21,11
sp|P54136|SYRC_HUMAN,P54136,17,28,11
sp|P61247|RS3A_HUMAN,P61247,29,40,11
sp|Q92616|GCN1_HUMAN,Q92616,15,26,11
sp|Q9H4G0|E41L1_HUMAN,Q9H4G0,3,14,11
sp|O14974-2|MYPT1_HUMAN,O14974-2,0,11,11
sp|O75534-2|CSDE1_HUMAN,O75534-2,0,11,11
sp|P02769|ALBU_BOVIN,P02769,0,11,11
sp|P08559-2|ODPA_HUMAN,P08559-2,0,11,11
sp|P11177-2|ODPB_HUMAN,P11177-2,0,11,11
sp|P16615-2|AT2A2_HUMAN,P16615-2,0,11,11
sp|P32322-3|P5CR1_HUMAN,P32322-3,0,11,11
sp|P62873-2|GBB1_HUMAN,P62873-2,0,11,11
sp|Q12860-2|CNTN1_HUMAN,Q12860-2,0,11,11
sp|Q13740-2|CD166_HUMAN,Q13740-2,0,11,11
sp|Q15056-2|IF4H_HUMAN,Q15056-2,0,11,11
sp|Q15067-2|ACOX1_HUMAN,Q15067-2,0,11,11
sp|Q15185-3|TEBP_HUMAN,Q15185-3,0,11,11
sp|Q15637-6|SF01_HUMAN,Q15637-6,0,11,11
sp|Q9BY44-3|EIF2A_HUMAN,Q9BY44-3,0,11,11
sp|Q9NYF8-2|BCLF1_HUMAN,Q9NYF8-2,0,11,11
sp|Q9UKM9-2|RALY_HUMAN,Q9UKM9-2,0,11,11
sp|Q9Y305-2|ACOT9_HUMAN,Q9Y305-2,0,11,11
sp|Q9Y6E0-2|STK24_HUMAN,Q9Y6E0-2,0,11,11
tr|J3KNF8|J3KNF8_HUMAN,J3KNF8,0,11,11
sp|O43143|DHX15_HUMAN,O43143,3,13,10
sp|P11216|PYGB_HUMAN,P11216,15,25,10
sp|P21796|VDAC1_HUMAN,P21796,32,42,10
sp|P27348|1433T_HUMAN,P27348,37,47,10
sp|P46781|RS9_HUMAN,P46781,16,26,10
sp|P68104|EF1A1_HUMAN,P68104,63,73,10
sp|Q02878|RL6_HUMAN,Q02878,28,38,10
sp|Q9NTJ3|SMC4_HUMAN,Q9NTJ3,2,12,10
sp|Q15393|SF3B3_HUMAN,Q15393,2,12,10
sp|O00154-4|BACH_HUMAN,O00154-4,0,10,10
sp|O00203-3|AP3B1_HUMAN,O00203-3,0,10,10
sp|O43399-5|TPD54_HUMAN,O43399-5,0,10,10
sp|O43570-2|CAH12_HUMAN,O43570-2,0,10,10
sp|P05026-2|AT1B1_HUMAN,P05026-2,0,10,10
sp|P06737-2|PYGL_HUMAN,P06737-2,0,10,10
sp|P07954-2|FUMH_HUMAN,P07954-2,0,10,10
sp|P09543-2|CN37_HUMAN,P09543-2,0,10,10
sp|P18858-3|DNLI1_HUMAN,P18858-3,0,10,10
sp|P23229-2|ITA6_HUMAN,P23229-2,0,10,10
sp|P31947-2|1433S_HUMAN,P31947-2,0,10,10
sp|P33992|MCM5_HUMAN,P33992,0,10,10
sp|P35249-2|RFC4_HUMAN,P35249-2,0,10,10
sp|P35658-2|NU214_HUMAN,P35658-2,0,10,10
sp|P45974-2|UBP5_HUMAN,P45974-2,0,10,10
sp|P49189-3|AL9A1_HUMAN,P49189-3,0,10,10
sp|P51148-2|RAB5C_HUMAN,P51148-2,0,10,10
sp|P52701|MSH6_HUMAN,P52701,0,10,10
sp|P62633-4|CNBP_HUMAN,P62633-4,0,10,10
sp|Q07812-2|BAX_HUMAN,Q07812-2,0,10,10
sp|Q13428-3|TCOF_HUMAN,Q13428-3,0,10,10
sp|Q13596-2|SNX1_HUMAN,Q13596-2,0,10,10
sp|Q14195-2|DPYL3_HUMAN,Q14195-2,0,10,10
sp|Q14566|MCM6_HUMAN,Q14566,0,10,10
sp|Q16629-2|SRSF7_HUMAN,Q16629-2,0,10,10
sp|Q8TAT6-2|NPL4_HUMAN,Q8TAT6-2,0,10,10
sp|Q96CW1-2|AP2M1_HUMAN,Q96CW1-2,0,10,10
sp|Q9GZT3-2|SLIRP_HUMAN,Q9GZT3-2,0,10,10
sp|Q9H098-2|F107B_HUMAN,Q9H098-2,0,10,10
sp|Q9UN86-2|G3BP2_HUMAN,Q9UN86-2,0,10,10
sp|Q9Y2A7-2|NCKP1_HUMAN,Q9Y2A7-2,0,10,10
tr|E9PM92|E9PM92_HUMAN,E9PM92,0,10,10
tr|I3L2B0|I3L2B0_HUMAN,I3L2B0,0,10,10
sp|O75533|SF3B1_HUMAN,O75533,4,13,9
sp|P07814|SYEP_HUMAN,P07814,32,41,9
sp|P12081|SYHC_HUMAN,P12081,14,23,9
sp|P12956|XRCC6_HUMAN,P12956,29,38,9
sp|P16435|NCPR_HUMAN,P16435,9,18,9
sp|P23246|SFPQ_HUMAN,P23246,40,49,9
sp|P33993|MCM7_HUMAN,P33993,6,15,9
sp|P39023|RL3_HUMAN,P39023,23,32,9
sp|P46940|IQGA1_HUMAN,P46940,37,46,9
sp|P49736|MCM2_HUMAN,P49736,5,14,9
sp|P52907|CAZA1_HUMAN,P52907,4,13,9
sp|P62258|1433E_HUMAN,P62258,46,55,9
sp|P62753|RS6_HUMAN,P62753,17,26,9
sp|Q13200|PSMD2_HUMAN,Q13200,22,31,9
sp|Q13501|SQSTM_HUMAN,Q13501,5,14,9
sp|Q86VP6|CAND1_HUMAN,Q86VP6,23,32,9
sp|Q9Y230|RUVB2_HUMAN,Q9Y230,16,25,9
sp|O00267-2|SPT5H_HUMAN,O00267-2,0,9,9
sp|O60313-10|OPA1_HUMAN,O60313-10,0,9,9
sp|P09497-2|CLCB_HUMAN,P09497-2,0,9,9
sp|P12931-2|SRC_HUMAN,P12931-2,0,9,9
sp|P20290-2|BTF3_HUMAN,P20290-2,0,9,9
sp|P30626-2|SORCN_HUMAN,P30626-2,0,9,9
sp|P33316-2|DUT_HUMAN,P33316-2,0,9,9
sp|P34896-2|GLYC_HUMAN,P34896-2,0,9,9
sp|P36542-2|ATPG_HUMAN,P36542-2,0,9,9
sp|P52788-2|SPSY_HUMAN,P52788-2,0,9,9
sp|P61224-3|RAP1B_HUMAN,P61224-3,0,9,9
sp|P80303-2|NUCB2_HUMAN,P80303-2,0,9,9
sp|Q02952-2|AKA12_HUMAN,Q02952-2,0,9,9
sp|Q05193-3|DYN1_HUMAN,Q05193-3,0,9,9
sp|Q07866-10|KLC1_HUMAN,Q07866-10,0,9,9
sp|Q08945|SSRP1_HUMAN,Q08945,0,9,9
sp|Q13492-2|PICAL_HUMAN,Q13492-2,0,9,9
sp|Q14498-2|RBM39_HUMAN,Q14498-2,0,9,9
sp|Q16643-3|DREB_HUMAN,Q16643-3,0,9,9
sp|Q32MZ4-3|LRRF1_HUMAN,Q32MZ4-3,0,9,9
sp|Q5T4S7-2|UBR4_HUMAN,Q5T4S7-2,0,9,9
sp|Q6WCQ1-2|MPRIP_HUMAN,Q6WCQ1-2,0,9,9
sp|Q6YN16-2|HSDL2_HUMAN,Q6YN16-2,0,9,9
sp|Q86Y56-2|DAAF5_HUMAN,Q86Y56-2,0,9,9
sp|Q8WWM7-2|ATX2L_HUMAN,Q8WWM7-2,0,9,9
sp|Q8WX93-3|PALLD_HUMAN,Q8WX93-3,0,9,9
sp|Q92734-2|TFG_HUMAN,Q92734-2,0,9,9
sp|Q92804-2|RBP56_HUMAN,Q92804-2,0,9,9
sp|Q93008-1|USP9X_HUMAN,Q93008-1,0,9,9
sp|Q99873-2|ANM1_HUMAN,Q99873-2,0,9,9
sp|Q9NQC3-2|RTN4_HUMAN,Q9NQC3-2,0,9,9
sp|Q9NR28-2|DBLOH_HUMAN,Q9NR28-2,0,9,9
sp|Q9NVA2-2|SEP11_HUMAN,Q9NVA2-2,0,9,9
sp|Q9NZL4-3|HPBP1_HUMAN,Q9NZL4-3,0,9,9
sp|Q9NZW5|MPP6_HUMAN,Q9NZW5,0,9,9
sp|Q9UHX1-2|PUF60_HUMAN,Q9UHX1-2,0,9,9
sp|Q9Y277-2|VDAC3_HUMAN,Q9Y277-2,0,9,9
sp|Q9Y570-4|PPME1_HUMAN,Q9Y570-4,0,9,9
sp|P20340-2|RAB6A_HUMAN,P20340-2,0,9,9
sp|O00571|DDX3X_HUMAN,O00571,16,24,8
sp|O60506|HNRPQ_HUMAN,O60506,31,39,8
sp|O60841|IF2P_HUMAN,O60841,4,12,8
sp|O75083|WDR1_HUMAN,O75083,28,36,8
sp|O75131|CPNE3_HUMAN,O75131,9,17,8
sp|P08865|RSSA_HUMAN,P08865,24,32,8
sp|P33991|MCM4_HUMAN,P33991,5,13,8
sp|P38919|IF4A3_HUMAN,P38919,3,11,8
sp|P46777|RL5_HUMAN,P46777,17,25,8
sp|P50990|TCPQ_HUMAN,P50990,34,42,8
sp|P52292|IMA1_HUMAN,P52292,8,16,8
sp|P53618|COPB_HUMAN,P53618,5,13,8
sp|P55072|TERA_HUMAN,P55072,46,54,8
sp|P61011|SRP54_HUMAN,P61011,2,10,8
sp|P61158|ARP3_HUMAN,P61158,20,28,8
sp|P62280|RS11_HUMAN,P62280,12,20,8
sp|P62851|RS25_HUMAN,P62851,5,13,8
sp|P84098|RL19_HUMAN,P84098,11,19,8
sp|Q7Z2W4|ZCCHV_HUMAN,Q7Z2W4,5,13,8
sp|Q9UQ80|PA2G4_HUMAN,Q9UQ80,29,37,8
sp|P17858|PFKAL_HUMAN,P17858,1,9,8
sp|A0AV96-2|RBM47_HUMAN,A0AV96-2,0,8,8
sp|O43447-2|PPIH_HUMAN,O43447-2,0,8,8
sp|O43684-2|BUB3_HUMAN,O43684-2,0,8,8
sp|O75306-2|NDUS2_HUMAN,O75306-2,0,8,8
sp|O75608-2|LYPA1_HUMAN,O75608-2,0,8,8
sp|O75822-3|EIF3J_HUMAN,O75822-3,0,8,8
sp|O76094-2|SRP72_HUMAN,O76094-2,0,8,8
sp|O95793-2|STAU1_HUMAN,O95793-2,0,8,8
sp|P04844-2|RPN2_HUMAN,P04844-2,0,8,8
sp|P11310-2|ACADM_HUMAN,P11310-2,0,8,8
sp|P17096-3|HMGA1_HUMAN,P17096-3,0,8,8
sp|P22830-2|HEMH_HUMAN,P22830-2,0,8,8
sp|P30453|1A34_HUMAN,P30453,0,8,8
sp|P35080-2|PROF2_HUMAN,P35080-2,0,8,8
sp|P35613-2|BASI_HUMAN,P35613-2,0,8,8
